Model,Target,MAE,RMSE,R²,Training_Time,Inference_Time,MAE_Score,R2_Score,Speed_Score,Overall_Score
XGBoost,Delay,3.8923537731170654,7.403707977438437,0.9594881534576416,0.3341214656829834,0.01856398582458496,0.4725776734613738,0.9594881534576416,0.7980821502140846,0.6837517128107963
XGBoost,Cost,24.829443464743093,38.62016360917954,0.9294182053876531,0.24832868576049805,0.0029985904693603516,0.22641081142313524,0.9294182053876531,0.28748341956187284,0.4495275512402381
LightGBM,Delay,3.93311820687991,7.625668600386133,0.9570227097020937,1.6547396183013916,0.0065114498138427734,0.4670540048154964,0.9570227097020937,0.0,0.5206338153183763
LightGBM,Cost,32.09641994922478,62.792006434279365,0.813416515610486,0.08162379264831543,0.004509449005126953,0.0,0.813416515610486,0.7658010976780204,0.3971851742187499
RandomForest,Delay,7.379956397867821,11.334062497281602,0.905058873405995,0.37593770027160645,0.09952044486999512,0.0,0.905058873405995,0.7728115673827217,0.42607997549834287
RandomForest,Cost,28.22846848168328,49.49278357317351,0.884082704974047,0.3485233783721924,0.057590484619140625,0.12051037074104975,0.884082704974047,0.0,0.32547999686273893
